"<ID|readonly|noverify>";"<English>"
hotkeys/ID_HUMAN_JUMP;Jump
hotkeys/ID_HUMAN_SPRINT;Fast run
hotkeys/ID_HUMAN_FIRE_HEADER;Weaponry
hotkeys/ID_FIRE_HUMAN;Fire from the main calibre gun
hotkeys/ID_FIRE_HUMAN_SECONDARY_GUN;Fire from secondary guns
hotkeys/ID_FIRE_HUMAN_MACHINE_GUN;Fire from the underbarrel grenade launcher
hotkeys/ID_FIRE_HUMAN_SPECIAL_GUN;Fire from special guns
hotkeys/ID_SELECT_HUMAN_GUN_RESET;Reset weapon selection
hotkeys/ID_SELECT_HUMAN_GUN_MACHINEGUN;Select the machine gun
hotkeys/ID_SELECT_HUMAN_GUN_PRIMARY;Select the primary weapon
hotkeys/ID_SELECT_HUMAN_GUN_SECONDARY;Select the secondary weapon
hotkeys/ID_HUMAN_SMOKE_GRENADE;Smoke grenades
hotkeys/ID_WEAPON_LOCK_HUMAN;Weapon lock
hotkeys/ID_SENSOR_SWITCH_HUMAN;Switch Radar/IRST search on/off
hotkeys/ID_SENSOR_TARGET_SWITCH_HUMAN;Select the Radar/IRST target to lock
hotkeys/ID_SENSOR_TARGET_LOCK_HUMAN;Lock the Radar/IRST on the target
hotkeys/ID_HUMAN_NIGHT_VISION;Night vision mode
hotkeys/ID_HUMAN_THERMAL_WHITE_IS_HOT;Changing the color scheme of the thermal sight
hotkeys/ID_HUMAN_TOGGLE_RANGEFINDER;Rangefinder
hotkeys/ID_HUMAN_VIEW_HEADER;Camera control
hotkeys/ID_TOGGLE_VIEW_HUMAN;Sniper mode
hotkeys/ID_TARGETING_HOLD_HUMAN;Target tracking
hotkeys/ID_HUMAN_OTHER_HEADER;Miscellaneous
hotkeys/ID_START_SUPPORT_PLANE_HUMAN;UAV Launch
hotkeys/ID_SUPPORT_PLANE_ORBITING_HUMAN;Hover
hotkeys/ID_SUBMARINE_SWITCH_FUSE_MODE;Switch fuze mode
hotkeys/ID_SHIP_SWITCH_ACTIVE_SONAR;Sonar mode on/off
hotkeys/ID_SHIPS_TOGGLE_HYDROPHONE_MODE;Hydrophone mode on/off
hotkeys/ID_ENABLE_TARGET_TRACKING_TANK;Enable ATT
hotkeys/ID_HUMAN_ORDERS_MENU;Squad orders menu
hotkeys/ID_HUMAN_WEAPON_MENU;Weapon control menu: switching fire modes, using modules (underbarrel weapon, laser sight, flashlight)
hotkeys/ID_HUMAN_MAIN_WEAPON;Switching between main weapon and module
hotkeys/ID_HUMAN_SELECT_PREV_SOLDIER;Select previos soldier
hotkeys/ID_HUMAN_SELECT_NEXT_SOLDIER;Select next soldier
hotkeys/ID_HUMAN_CONTEXT_COMMAND_NEXT_SOLDIER;Select next soldier
hotkeys/ID_HUMAN_CONTEXT_COMMAND_NEXT_POSE;Change selected soldier pose
hotkeys/ID_HUMAN_CONTEXT_COMMAND;(hold the button) choose the location of the soldier. Order will be given if you release the button.
hotkeys/ID_CREW_SWITCH_CONTROL_NEXT;Switch member
hotkeys/ID_GRENADE_THROW_HEADER;Throw grenade
hotkeys/ID_HUMAN_WEAP_MOD_TOGGLE;Underbarrel grenade launcher mode on/off
hotkeys/ID_HUMAN_LASER_TOGGLE;Laser mode on/off
hotkeys/ID_HUMAN_FLASH_LIGHT_TOGGLE;Flashlight mode on/off
hotkeys/ID_HUMAN_FIRING_MOD_NEXT;Switch fire modes
hotkeys/ID_TARGET_CAMERA_HUMAN_DRONE;Tracking Camera: Enemy
hotkeys/ID_HUMAN_SHOOT;Shooting or using
hotkeys/ID_HUMAN_AIM;Aiming or capturing
hotkeys/ID_HUMAN_CROUCH;Sit down
hotkeys/ID_HUMAN_CRAWL;Lie down
hotkeys/ID_HUMAN_RELOAD;Reload gun
hotkeys/ID_HUMAN_HOLD_BREATH;Hold breath
hotkeys/ID_HUMAN_BIPODTOGGLE;Mount on bipod
hotkeys/ID_HUMAN_NEXT_ZOOM;Change zoom
hotkeys/ID_HUMAN_THROW;Throw grenade
hotkeys/ID_HUMAN_WEAP_AMMO_TOGGLE;Change ammunition
hotkeys/ID_CONTROL_MODE_HUMAN_UAV;Hover mode
hotkeys/ID_LOCK_TARGETING_AT_POINT_HUMAN_UAV;Sight stabilization
hotkeys/ID_UNLOCK_TARGETING_AT_POINT_HUMAN_UAV;Disable sight stabilization
hotkeys/ID_HUMAN_UAV;UAV
hotkeys/ID_TOGGLE_VIEW_HUMAN_UAV;Toggle View
hotkeys/ID_HUMAN_NEXT_AFTER_DEATH;Switch to next
hotkeys/ID_REPAIR_HUMAN;Repair
hotkeys/ID_HUMAN_SHOOT_MELEE;Melee strike
hotkeys/ID_HUMAN_USE_MEDKIT;Use medkit
controls/human_wheelmenu_x;Radial menu navigation (X-axis)
controls/human_wheelmenu_y;Radial menu navigation (Y-axis)
controls/hold_button_for_fast_sprint;Hold for fast run
controls/aim_time_nonlinearity_human;Gamepad aim acceleration
controls/aim_acceleration_delay_human;Aim acceleration delay
controls/help/human_move;The direction of movement
controls/help/squad_info;Under your command, you have up to 5 soldiers who follow you unless you give them another order.
controls/help/controlledHuman;Soldier under direct control
controls/help/humanForOrder;Soldier chosen for the order
controls/help/humanSlotInfo;"Above: a special weapon or item carried by a soldier.
Bottom: type of explosive.
You can give an order to use them."
controls/help/changeHumanPose;Changes the soldier's turn
controls/help/humanChangeInfo;Switch to soldier (1 ... 5) in the squad.
controls/help/humanHoldPosition;A soldier holding a position effectively controls the specified direction.
controls/human_mouse_aim_x;Infantryman aiming (X-axis)
controls/human_mouse_aim_y;Infantryman aiming (Y-axis)
controls/ID_HUMAN_UAV;Drone Control
controls/human_uav_roll;Roll axis
controls/human_uav_pitch;Pitch axis
controls/human_uav_yaw;Yaw axis
controls/human_uav_throttle;Throttle axis
controls/human_uav_climb;Hover height
controls/ID_CONTROL_MODE_HUMAN_UAV;Hover mode
hotkeys/human_mouse_aim_x;Infantryman aiming (X-axis)
hotkeys/human_mouse_aim_y;Infantryman aiming (Y-axis)
controls/human_camx;View in battle - Infantry (X-axis)
controls/human_camy;View in battle - Infantry (Y-axis)
hotkeys/ID_HUMAN_MOVE_HEADER;Movement
