"<ID|readonly|noverify>";"<English>"
#Mod Categories
"modification/category/lth";"Flight Performance"
"modification/category/armor";"Survivability"
"modification/category/weapon";"Weaponry"
"modification/category/mobility";"Mobility"
"modification/category/protection";"Protection"
"modification/category/firepower";"Firepower"
"modification/category/primaryWeapon";"Primary Weapons"
"modification/category/secondaryWeapon";"Secondary Weapons"
"modification/category/premiumMods";"Special"
"modification/category/expendables";"Supplies"
"modification/category/seakeeping";"Seakeeping"
"modification/category/unsinkability";"Unsinkability"
"modification/category/bonus";"Tier Bonus"
#Mod Tooltips
"modification/category/bonus/tooltip";"When researching all modifications at each tier, you will receive bonus RP for the vehicle being researched in the amount of {bonus}% of the sum of RP spent on researching all modifications of that tier."
"modification/tierBonus";"Bonus:"
"modification/bonusReceived";"Bonus Received"
"modification/progressModsText";"Research of all modifications: {earnedExp} / {reqExp}"
"modification/progressModsAllResearchedText";"◕ All Modifications Researched"
#Miscellaneous Mods
"modification/hydravlic_power";"New Boosters"
"modification/hydravlic_power/desc";"New hydraulic boosters improve the plane's maneuverability."
"modification/new_compressor_r";"Compressor"
"modification/new_compressor_r/desc";"Checking, tweaking, and regular maintenance of the compressor increases maximum engine power, boosting acceleration and top speed."
"modification/new_compressor_jet";"Compressor"
"modification/new_compressor_jet/desc";"Checking, tweaking, and regular maintenance of the compressor increases maximum engine power, boosting acceleration and top speed."
"modification/new_radiator_r";"Radiator"
"modification/new_radiator_r/desc";"Cleaning of the radiator and cooling system makes engine cooling more effective."
"modification/hp_105_r";"Engine"
"modification/hp_105_r/desc";"Replacement of worn engine with a new one, increasing acceleration and top speed."
"modification/hp_105_jet";"Engine"
"modification/hp_105_jet/desc";"Replacement of worn engine with a new one, increasing acceleration and top speed."
"modification/structure_str_r";"Airframe"
"modification/structure_str_r/desc";"Replacement of damaged airframe elements increases the plane's overall durability and flight performance due to weight reduction. For some planes, this means that you get a new plane with an undamaged airframe."
"modification/f_4c_structure_str";"Airframe"
"modification/f_4c_structure_str/desc";"Replacement of damaged airframe elements increases the plane's overall durability and flight performance due to weight reduction. For some planes, this means that you get a new plane with an undamaged airframe."
"modification/tis_ma_structure_str";"Airframe"
"modification/tis_ma_structure_str/desc";"Replacement of damaged airframe elements increases the plane's overall durability and flight performance due to weight reduction. For some planes, this means that you get a new plane with an undamaged airframe."
"modification/new_cover_r";"Cover"
"modification/new_cover_r/desc";"Regular maintaining of cover and replacement of damaged cover parts increases the plane's overall durability and flight performance due to weight reduction."
"modification/CdMin_Fuse_r";"Fuselage Repair"
"modification/CdMin_Fuse_r/desc";"Replacement of damaged elements of fuselage skinning, removal of openings, and surface finish to reduce air drag."
"modification/f_4c_CdMin_Fuse";"Fuselage Repair"
"modification/f_4c_CdMin_Fuse/desc";"Replacement of damaged elements of fuselage skinning, removal of openings, and surface finish to reduce air drag."
"modification/cd_98_r";"Wings Repair"
"modification/cd_98_r/desc";"Replacement of damaged elements of wing skin, removal of openings, and surface finish to reduce air drag."
"modification/cd_98";"Wings Repair"
"modification/cd_98/desc";"Replacement of damaged elements of wing skin, removal of openings, and surface finish to reduce air drag."
"modification/g_suit";"G-Suit"
"modification/g_suit/desc";"G-Suit makes it easier to carry high G-loads, allowing the pilot to sustain high-G maneuvers for longer periods of time before losing consciousness."
"modification/f_4c_g_suit";"G-Suit"
"modification/f_4c_g_suit/desc";"G-Suit makes it easier to carry high G-loads, allowing the pilot to sustain high-G maneuvers for longer periods of time before losing consciousness."
"modification/air_extinguisher/desc";"Manually-activated fire suppression system which enables the aircraft to put out engine fires."
"modification/air_extinguisher";"Engine Fire System"
"modification/automatic_air_extinguisher/desc";"Automatically-activated fire suppression system which enables the aircraft to put out engine fires."
"modification/automatic_air_extinguisher";"Automatic Engine Fire System"
"modification/countermeasures_belt_pack";"ECM System"
"modification/countermeasures_belt_pack/desc";"Electronic Countermeasures System consisting of countermeasures dispensers with provisions for flares and chaff. Flares confuse infrared-guided missiles, while chaff confuses radars and radar-guided missiles."
"modification/countermeasures_belt_pack_unchecked";"ECM System"
"modification/countermeasures_belt_pack_unchecked/desc";"Electronic Countermeasures System consisting of countermeasures dispensers with provisions for flares and chaff. Flares confuse infrared-guided missiles, while chaff confuses radars and radar-guided missiles."
"modification/chaff_pods";"ECM Pods (Chaff)"
"modification/chaff_pods/desc";"Allows the installation of external Electronic Countermeasures pods. These pods contain dispensers with belts of chaff, which confuses radars and radar-guided missiles."
"modification/MAW_system_heli_false_thermal_targets/desc";"Missile Approach Warning System which alerts the pilot when a missile has been launched at their aircraft. The MAWS will display the missile's approach vector on the aircraft's RWR, and has a configurable option (toggled ON by default) which will automatically dump countermeasures upon detecting a missile."
"modification/MAW_system_heli_false_thermal_targets";"MAWS"
"modification/MAW_system_heli_false_thermal_targets_large/desc";"Missile Approach Warning System which alerts the pilot when a missile has been launched at their aircraft. The MAWS will display the missile's approach vector on the aircraft's RWR, and has a configurable option (toggled ON by default) which will automatically dump countermeasures upon detecting a missile."
"modification/MAW_system_heli_false_thermal_targets_large";"MAWS"
"modification/PIDS_false_thermal_targets/desc";"Allows the installation of Pylon Integrated Dispenser Stations; these are ECM pods which fit onto the aircraft's missile pylons and contain provisions for chaff and flares. Flares confuse infrared-guided missiles, while chaff confuses radars and radar-guided missiles."
"modification/PIDS_false_thermal_targets";"PIDS"
"modification/uk_terma_mcp_false_thermal_targets/desc";"Missile Approach Warning System which alerts the pilot when a missile has been launched at their aircraft. The MAWS will display the missile's approach vector on the aircraft's RWR, and has a configurable option (toggled ON by default) which will automatically dump countermeasures upon detecting a missile."
"modification/uk_terma_mcp_false_thermal_targets";"MAWS"
"modification/uk_ltc_bol";"BOL Pods"
