"<ID|readonly|noverify>";"<English>";;
#
"g_56_shop";"G.56 Centauro";;
"g_56_0";"Fiat Aviazone | G.56 Centauro | 1944 Prototype";;
"g_56_1";"G.56 Centauro ";;
"g_56_2";"G.56";;
#
"g_55_serie1_shop";"G.55/1 Centauro";;
"g_55_serie1_0";"Fiat Aviazone | G.55 Centauro | Serie 1";;
"g_55_serie1_1";"G.55/1 Centauro";;
"g_55_serie1_2";"G.55/1";;
#
"re_2005_serie0_shop";"Re.2005 Sagittario";;
"re_2005_serie0_0";"Officine Meccaniche Reggiane S.p.A | Re.2005 Sagittario";;
"re_2005_serie0_1";"Re.2005 Sagittario";;
"re_2005_serie0_2";"Re.2005";;
#
"mc-205_serie3_shop";"C.205V Veltro";;
"mc-205_serie3_0";"Aeronautica Macchi | C.205V Veltro | Serie 3";;
"mc-205_serie3_1";"C.205V Veltro";;
"mc-205_serie3_2";"C.205V";;
#
"il-10_1946_hungary_shop";"◔Il-10 Beast";;
"il-10_1946_hungary_0";"OKB-39 ""Ilyushin"" | ◔Il-10 Beast ""Párduc""";;
"il-10_1946_hungary_1";"◔Il-10 Beast";;
"il-10_1946_hungary_2";"◔Il-10";;
#
"tu-2_postwar_late_hungary_shop";"◔Tu-2S-59 Bat";;
"tu-2_postwar_late_hungary_0";"OKB-39 ""Ilyushin"" | ◔Tu-2S Bat | Series 59";;
"tu-2_postwar_late_hungary_1";"◔Tu-2S-59 Bat";;
"tu-2_postwar_late_hungary_2";"◔Tu-2S-59";;
#
"yak-9p_hungary_shop";"◔Yak-9P";;
"yak-9p_hungary_0";"OKB-115 ""Yakovlev"" | ◔Yak-9P";;
"yak-9p_hungary_1";"◔Yak-9P";;
"yak-9p_hungary_2";"◔Yak-9P";;
#
"g_55s_shop";"G.55/S Centauro";;
"g_55s_0";"Fiat Aviazone | G.55 Centauro | Silurante";;
"g_55s_1";"G.55/S Centauro";;
"g_55s_2";"G.55/S";;
#
"g_55_serie1_ss0_shop";"G.55/0 Centauro";;
"g_55_serie1_ss0_0";"Fiat Aviazone | G.55 Centauro | Sottoserie 0";;
"g_55_serie1_ss0_1";"G.55/0 Centauro";;
"g_55_serie1_ss0_2";"G.55/0";;
#
"re_2001_cn_shop";"Re.2001CN Falco II";;
"re_2001_cn_0";"Officine Meccaniche Reggiane S.p.A | Re.2001 Falco II | Caccia Notturna";;
"re_2001_cn_1";"Re.2001CN Falco II";;
"re_2001_cn_2";"Re.2001CN";;
#
