"<ID|readonly|noverify>";"<English>";;
#
"kitsuka_shop";"M7N1-J Kō Kikka Kai";;
"kitsuka_0";"Nakajima Aircraft | M7N1-J Kikka Kai | Experimental Model 21 Kō";;
"kitsuka_1";"M7N1-J Kō Kikka Kai";;
"kitsuka_2";"M7N1-J Kō";;
#
"j8m1_shop";"Ki 200";;
"j8m1_0";"Mitsubishi Heavy Industries | Ki 200";;
"j8m1_1";"Ki 200";;
"j8m1_2";"Ki 200";;
#
"r2y2_kai_shop";"R2Y2-G Keiun Kai (Model 11)";;
"r2y2_kai_0";"Yokosuka Naval Arsenal | R2Y2-G Keiun Kai | Experimental Model 11";;
"r2y2_kai_1";"R2Y2-G Keiun Kai (Model 11)";;
"r2y2_kai_2";"R2Y2-G (Model 11)";;
#
"r2y2_v1_shop";"R2Y2-G Keiun Kai (Model 22)";;
"r2y2_v1_0";"Yokosuka Naval Arsenal | R2Y2-G Keiun Kai  | Experimental Model 22";;
"r2y2_v1_1";"R2Y2-G Keiun Kai (Model 22)";;
"r2y2_v1_2";"R2Y2-G (Model 22)";;
#
"r2y2_v2_shop";"R2Y2-G Keiun Kai (Model 32)";;
"r2y2_v2_0";"Yokosuka Naval Arsenal | R2Y2-G Keiun Kai | Experimental Model 32";;
"r2y2_v2_1";"R2Y2-G Keiun Kai (Model 32)";;
"r2y2_v2_2";"R2Y2-G (Model 32)";;
#
"n1k1_ja_shop";"N1K1-J Kō Shiden";;
"n1k1_ja_0";"Kawashini Aircraft | N1K1-J Shiden | Model 11 Kō";;
"n1k1_ja_1";"N1K1-J Kō Shiden";;
"n1k1_ja_2";"N1K1-J Kō";;
#
"n1k2_j_shop";"N1K2-J Shiden";;
"n1k2_j_0";"Kawashini Aircraft | N1K2-J Shiden | Model 12";;
"n1k2_j_1";"N1K2-J Shiden";;
"n1k2_j_2";"N1K2-J";;
#
"n1k2_jko_shop";"N1K2-J Kō Shiden";;
"n1k2_jko_0";"Kawashini Aircraft | N1K2-J Shiden |Model 12 Kō";;
"n1k2_jko_1";"N1K2-J Kō Shiden";;
"n1k2_jko_2";"N1K2-J Kō";;
#
"a7m2_shop";"A7M2 Reppū";;
"a7m2_0";"Mitsubishi Heavy Industries | A7M2 Reppū | Model 11";;
"a7m2_1";"A7M2 Reppū";;
"a7m2_2";"A7M2";;
#
"a6m5otsu_shop";"A6M5 Otsu Reisen";;
