"<ID|readonly|noverify>";"<English>";;
#
"saab_a21a_3_shop";"A 21A-3";;
"saab_a21a_3_0";"Svenska Aeroplan AB | A 21A-3 (1952)";;
"saab_a21a_3_1";"A 21A-3";;
"saab_a21a_3_2";"A 21A-3";;
#
"bf-109g-2_finland_shop";"▄Bf 109 G-2 Mersu";;
"bf-109g-2_finland_0";"Messerschmitt AG | ▄Bf 109 G-2 | MT ""Mersu""";;
"bf-109g-2_finland_1";"▄Bf 109 G-2 Mersu";;
"bf-109g-2_finland_2";"▄Bf 109 G-2";;
#
"bf-109g-6_finland_shop";"▄Bf 109 G-6/R6 Mersu (Tp)";;
"bf-109g-6_finland_0";"Messerschmitt AG | ▄Bf 109 G-6 | Rüstatz 6 | MT ""Mersu"" | Tropenausrüstung";;
"bf-109g-6_finland_1";"▄Bf 109 G-6/R6 Mersu (Tp)";;
"bf-109g-6_finland_2";"▄Bf 109 G-6/R6 (Tp)";;
#
"bf-109g-6_erla_finland_shop";"▄Bf 109 G-6/R6 Erla Mersu";;
"bf-109g-6_erla_finland_0";"Messerschmitt AG | ▄Bf 109 G-6 Erla | Rüstatz 6 | MT ""Mersu""";;
"bf-109g-6_erla_finland_1";"▄Bf 109 G-6/R6 Erla Mersu";;
"bf-109g-6_erla_finland_2";"▄Bf 109 G-6/R6 Erla";;
#
"ffvs_j22_b_shop";"J 22B";;
"ffvs_j22_b_0";"Kungliga Flygförvaltningens Flygverkstad i Stockholm | J 22B";;
"ffvs_j22_b_1";"J 22B";;
"ffvs_j22_b_2";"J 22B";;
#
"saab_b18b_shop";"B 18B";;
"saab_b18b_0";"Svenska Aeroplan AB | B 18B";;
"saab_b18b_1";"B 18B";;
"saab_b18b_2";"B 18B";;
#
"saab_t18b_1_shop";"T 18B-1";;
"saab_t18b_1_0";"Svenska Aeroplan AB | T 18B-1";;
"saab_t18b_1_1";"T 18B-1";;
"saab_t18b_1_2";"T 18B-1";;
#
"saab_t18b_2_shop";"T 18B-2";;
"saab_t18b_2_0";"Svenska Aeroplan AB | T 18B-2";;
"saab_t18b_2_1";"T 18B-2";;
"saab_t18b_2_2";"T 18B-2";;
#
"pyorremyrsky_shop";"Pyörremyrsky";;
"pyorremyrsky_0";"Valtion lentokonetehdas | Pyörremyrsky | PM-1 ""Puu-Mersu""";;
"pyorremyrsky_1";"Pyörremyrsky";;
"pyorremyrsky_2";"Pyörremyrsky";;
#
"ffvs_j22_a_shop";"J 22A";;
