"<ID|readonly|noverify>";"<English>";;
#just learned that Edit CSV doesn't automatically put quotes around stuff.
#so some stuff will have quotes like in Gaijin's files, some wont. sorry again, addy. -maple (11/13/2025)
#Aircraft
"p-26a_33_shop";"P-26A-33 Peashooter";;
"p-26a_33_0";"Boeing Airplane Company | P-26A-33 Peashooter | Block 33";;
"p-26a_33_1";"P-26A-33 Peashooter";;
"p-26a_33_2";"P-26A-33";;
#
"p-26a_34_shop";"P-26A-34 Peashooter";;
"p-26a_34_0";"Boeing Airplane Company | P-26A-34 Peashooter | Block 34";;
"p-26a_34_1";"P-26A-34 Peashooter";;
"p-26a_34_2";"P-26A-34";;
#
"p-26a_34_m2_shop";"P-26A-34-M2 Peashooter";;
"p-26a_34_m2_0";"Boeing Airplane Company | P-26A-34 Peashooter | Block 34, M2 Browning Modification";;
"p-26a_34_m2_1";"P-26A-34-M2 Peashooter";;
"p-26a_34_m2_2";"P-26A-34-M2";;
#
"p-26a_35_shop";"P-26A-35 Peashooter";;
"p-26a_35_0";"Boeing Airplane Company | P-26A-35 Peashooter | Block 35";;
"p-26a_35_1";"P-26A-35 Peashooter";;
"p-26a_35_2";"P-26A-35";;
#
"p-26b_35_shop";"P-26B-35 Peashooter";;
"p-26b_35_0";"Boeing Airplane Company | P-26B-35 Peashooter | Block 35";;
"p-26b_35_1";"P-26B-35 Peashooter";;
"p-26b_35_2";"P-26B-35";;
#
"p-36a_shop";"P-36A Hawk";;
"p-36a_0";"Curtiss-Wright Corporation | P-36A Hawk";;
"p-36a_1";"P-36A Hawk";;
"p-36a_2";"P-36A";;
#
"p-36a_rasmussen_shop";"P-36A Hawk [Rasmussen]";;
"p-36a_rasmussen_0";"Curtiss-Wright Corporation | Rasmussen's P-36A Hawk";;
"p-36a_rasmussen_1";"P-36A Hawk [Rasmussen]";;
"p-36a_rasmussen_2";"P-36A";;
#
"p-36a_brown_shop";"P-36A Hawk [Brown]";;
"p-36a_brown_0";"Curtiss-Wright Corporation | Brown's P-36A Hawk";;
"p-36a_brown_1";"P-36A Hawk [Brown]";;
"p-36a_brown_2";"P-36A";;
#
"p-36c_shop";"P-36C Hawk";;
"p-36c_0";"Curtiss-Wright Corporation | P-36C Hawk";;
"p-36c_1";"P-36C Hawk";;
"p-36c_2";"P-36C";;
#
"p-36c_rb_shop";"○P-36C Hawk";;
"p-36c_rb_0";"○Curtiss-Wright Corporation | TheRussianBadger's P-36C Hawk";;
"p-36c_rb_1";"○P-36C Hawk";;
"p-36c_rb_2";"○P-36C";;
#
"bf2c_1_shop";"BF2C-1 Goshawk";;
"bf2c_1_0";"Curtiss Aeroplane and Motor Company | BF2C-1 Goshawk";;
"bf2c_1_1";"BF2C-1 Goshawk";;
"bf2c_1_2";"BF2C-1";;
#
"f3f-2_shop";"F3F-2 Gulfhawk";;
"f3f-2_0";"Grumman Aircraft Engineering Corporation | F3F-2 Gulfhawk";;
"f3f-2_1";"F3F-2 Gulfhawk";;
"f3f-2_2";"F3F-2";;
#
"f3f-2_galer_shop";"F3F-2 Gulfhawk [Galer]";;
"f3f-2_galer_0";"Grumman Aircraft Engineering Corporation | Galer's F3F-2 Gulfhawk";;
"f3f-2_galer_1";"F3F-2 Gulfhawk [Galer]";;
"f3f-2_galer_2";"F3F-2";;
#
"f2a-1_shop";"F2A-1 Buffalo";;
"f2a-1_0";"Brewster Aeronautical Corporation | F2A-1 Buffalo";;
"f2a-1_1";"F2A-1 Buffalo";;
"f2a-1_2";"F2A-1";;
#
"f2a-1_thach_shop";"F2A-1 Buffalo [Thach]";;
"f2a-1_thach_0";"Brewster Aeronautical Corporation | John Thach's F2A-1 Buffalo";;
"f2a-1_thach_1";"F2A-1 Buffalo [Thach]";;
"f2a-1_thach_2";"F2A-1";;
#
"b_10b_shop";"B-10B (Model 139)";;
"b_10b_0";"Martin Company | B-10B (Model 139)";;
"b_10b_1";"B-10B (Model 139)";;
"b_10b_2";"B-10B";;
#
"os2u_1_shop";"OS2U-1 Kingfisher";;
"os2u_1_0";"Chance Vought Corporation | OS2U-1 Kingfisher";;
"os2u_1_1";"OS2U-1 Kingfisher";;
"os2u_1_2";"OS2U-1";;
#
"os2u_1_naval_shop";"OS2U-1 Kingfisher";;
"os2u_1_naval_0";"Chance Vought Corporation | OS2U-1 Kingfisher";;
"os2u_1_naval_1";"OS2U-1 Kingfisher";;
"os2u_1_naval_2";"OS2U-1";;
#
"os2u_3_shop";"OS2U-3 Kingfisher";;
"os2u_3_0";"Chance Vought Corporation | OS2U-3 Kingfisher";;
"os2u_3_1";"OS2U-3 Kingfisher";;
"os2u_3_2";"OS2U-3";;
#
"sb2u-3_shop";"SB2U-3 Vindicator";;
"sb2u-3_0";"Chance Vought Corporation | SB2U-3 Vindicator";;
"sb2u-3_1";"SB2U-3 Vindicator";;
"sb2u-3_2";"SB2U-3";;
#
"sb2u-2_shop";"SB2U-2 Vindicator";;
"sb2u-2_0";"Chance Vought Corporation | SB2U-2 Vindicator";;
"sb2u-2_1";"SB2U-2 Vindicator";;
"sb2u-2_2";"SB2U-2";;
#
"tbf-1c_shop";"TBF-1C Avenger";;
"tbf-1c_0";"Grumman Aircraft Engineering Corporation | TBF-1C Avenger";;
"tbf-1c_1";"TBF-1C Avenger";;
"tbf-1c_2";"TBF-1C";;
#
"sbd-3_shop";"SBD-3 Dauntless";;
"sbd-3_0";"Douglas Aircraft Company | SBD-3 Dauntless";;
"sbd-3_1";"SBD-3 Dauntless";;
"sbd-3_2";"SBD-3";;
#
"tbd-1_1938_shop";"TBD-1 Devastator";;
"tbd-1_1938_0";"Douglas Aircraft Company | TBD-1 Devastator";;
"tbd-1_1938_1";"TBD-1 Devastator";;
"tbd-1_1938_2";"TBD-1";;
#
"b_18a_shop";"B-18A Bolo";;
"b_18a_0";"Douglas Aircraft Company | B-18A Bolo";;
"b_18a_1";"B-18A Bolo";;
"b_18a_2";"B-18A";;
#
"pby-5_shop";"PBY-5 Catalina";;
"pby-5_0";"Consolidated Aircraft Corporation | PBY-5 Catalina";;
"pby-5_1";"PBY-5 Catalina";;
"pby-5_2";"PBY-5";;
#
"pby-5a_shop";"PBY-5A Catalina";;
"pby-5a_0";"Consolidated Aircraft Corporation | PBY-5A Catalina";;
"pby-5a_1";"PBY-5A Catalina";;
"pby-5a_2";"PBY-5A";;
#
