"<ID|readonly|noverify>";"<English>"
#
"itp_m1_shop";"ITP (M-1)"
"itp_m1_0";"N. Polikarpov OKB
Istrebitel Tyazholiy Pushechniy (ITP)
M-1 Prototype | 1942"
"itp_m1_1";"ITP (M-1)"
"itp_m1_2";"ITP (M-1)"
#
"tis_ma_shop";"TIS (MA)"
"tis_ma_0";"N. Polikarpov OKB
Tyazholyy Istrebitel' Soprovozhdeniya (TIS)
MA Prototype | 1941"
"tis_ma_1";"TIS (MA)"
"tis_ma_2";"TIS (MA)"
#
"il_8_1944_shop";"Il-8 Sturmovik (1944)"
"il_8_1944_0";"OKB-39 ""Ilyushin""
Il-8 Sturmovik | Obrazets 1944"
"il_8_1944_1";"Il-8 Sturmovik (1944)"
"il_8_1944_2";"Il-8 (1944)"
#
"yak-3_eremin_shop";"Yak-3  (1944) [Eremin]"
"yak-3_eremin_0";"OKB-115 ""Yakovlev""
Eremin's Yak-3 | Obrazets 1944"
"yak-3_eremin_1";"Yak-3  (1944) [Eremin]"
"yak-3_eremin_2";"Yak-3 (1944) [Eremin]"
#
"b_25j_30_vvs_ussr_shop";"☭B-25J-30 Mitchell"
"b_25j_30_vvs_ussr_0";"☭North American Aviation | B-25J-30 Mitchell | Block 30"
"b_25j_30_vvs_ussr_1";"☭B-25J-30 Mitchell"
"b_25j_30_vvs_ussr_2";"☭B-25J-30"
#
"p-47d_ussr_shop";"☭P-47D-27 Thunderbolt"
"p-47d_ussr_0";"☭Republic Aviation Corporation | P-47D-27 Thunderbolt | Block 27"
"p-47d_ussr_1";"☭P-47D-27 Thunderbolt"
"p-47d_ussr_2";"☭P-47D-27"
#
"p-63a-5_ussr_shop";"☭P-63A-5 Kingcobra"
"p-63a-5_ussr_0";"☭Bell Aircraft Corporation | P-63A-5 Kingcobra | Block 5"
"p-63a-5_ussr_1";"☭P-63A-5 Kingcobra"
"p-63a-5_ussr_2";"☭P-63A-5"
#
"p-63c-5_ussr_shop";"☭P-63C-5 Kingcobra"
"p-63c-5_ussr_0";"☭Bell Aircraft Corporation | P-63C-5 Kingcobra | Block 5"
"p-63c-5_ussr_1";"☭P-63C-5 Kingcobra"
"p-63c-5_ussr_2";"☭P-63C-5"
#
"a_20g_30_ussr_shop";"☭A-20G-30 Havoc"
"a_20g_30_ussr_0";"☭Douglas Aircraft Company | A-20G-30 Havoc | Block 30"
"a_20g_30_ussr_1";"☭A-20G-30 Havoc"
"a_20g_30_ussr_2";"☭A-20G-30"
#
"i_185_m71_standard_shop";"I-185 (1942)"
"i_185_m71_standard_0";"N. Polikarpov OKB
I-185 | Obrazets 1942
Shvetsov M-71 Engine"
"i_185_m71_standard_1";"I-185 (1942)"
"i_185_m71_standard_2";"I-185 (1942)"
#
"i_185_m82_shop";"I-185 (1940)"
"i_185_m82_0";"N. Polikarpov OKB
I-185 | Obrazets 1940
Shvetsov M-82 Engine"
"i_185_m82_1";"I-185 (1940)"
"i_185_m82_2";"I-185 (1940)"
#
"la-5fn_shop";"La-5FN"
"la-5fn_0";"OKB-301 ""Lavochkin"" | La-5FN"
"la-5fn_1";"La-5FN"
"la-5fn_2";"La-5FN"
#
"il_2m_1943_shop";"Il-2M Sturmovik (1943)"
"il_2m_1943_0";"OKB-39 ""Ilyushin"" | Il-2M Sturmovik | Obrazets 1943"
"il_2m_1943_1";"Il-2M Sturmovik (1943)"
"il_2m_1943_2";"Il-2M (1943)"
#
"il-2m_mstitel_shop";"Il-2M Sturmovik ""Mstitel"""
"il-2m_mstitel_0";"OKB-39 ""Ilyushin"" | Il-2M Sturmovik ""Мstitel"""
"il-2m_mstitel_1";"Il-2M Sturmovik ""Mstitel"""
"il-2m_mstitel_2";"Il-2M ""Мstitel"""
#
"il-2m_shop";"Il-2M3 Sturmovik"
"il-2m_0";"OKB-39 ""Ilyushin"" | Il-2M3 Sturmovik"
"il-2m_1";"Il-2M3 Sturmovik"
"il-2m_2";"Il-2M3"
#
"er-2_m105r_lu2b_shop";"Yer-2 LU-MV-2B"
"er-2_m105r_lu2b_0";"OKB-240 ""Yermolaev"" | Yer-2 LU-MV-2B | Obrazets 1941"
"er-2_m105r_lu2b_1";"Yer-2 LU-MV-2B"
"er-2_m105r_lu2b_2";"Yer-2 LU-MV-2B"
#
"er-2_m105_mv3_shop";"Yer-2 MV-3"
"er-2_m105_mv3_0";"OKB-240 ""Yermolaev"" | Yer-2 MV-3 | Obrazets 1940"
"er-2_m105_mv3_1";"Yer-2 MV-3"
"er-2_m105_mv3_2";"Yer-2 MV-3"
#
"pe-2-31_shop";"Pe-2-31 Peshka"
"pe-2-31_0";"NKVD Central Design Bureau №29 | Pe-2-31 Peshka"
"pe-2-31_1";"Pe-2-31 Peshka"
"pe-2-31_2";"Pe-2-31"
#
"pe-2-83_shop";"Pe-2-83 Peshka"
"pe-2-83_0";"NKVD Central Design Bureau №29 | Pe-2-83 Peshka"
"pe-2-83_1";"Pe-2-83 Peshka"
"pe-2-83_2";"Pe-2-83"
#
"pe-2-110_shop";"Pe-2-110 Peshka"
"pe-2-110_0";"NKVD Central Design Bureau №29 | Pe-2-110 Peshka"
"pe-2-110_1";"Pe-2-110 Peshka"
"pe-2-110_2";"Pe-2-110"
#
"pe-2-205_shop";"Pe-2-205 Peshka"
"pe-2-205_0";"NKVD Central Design Bureau №29 | Pe-2-205 Peshka"
"pe-2-205_1";"Pe-2-205 Peshka"
"pe-2-205_2";"Pe-2-205"
#
"pe-2-359_shop";"Pe-2-359 Peshka"
"pe-2-359_0";"NKVD Central Design Bureau №29 | Pe-2-359 Peshka"
"pe-2-359_1";"Pe-2-359 Peshka"
"pe-2-359_2";"Pe-2-359"
#
"pe-2_shop";"Pe-2 Peshka"
"pe-2_0";"NKVD Central Design Bureau №29 | Pe-2 Peshka"
"pe-2_1";"Pe-2 Peshka"
"pe-2_2";"Pe-2"
#
"pe-8_m82_shop";"Pe-8"
"pe-8_m82_0";"NKVD Central Design Bureau №29 | Pe-8"
"pe-8_m82_1";"Pe-8"
"pe-8_m82_2";"Pe-8"
#
"er-2_ach30b_late_shop";"Yer-2 (1941)"
"er-2_ach30b_late_0";"OKB-240 ""Yermolaev""
Yer-2 | Obrazets 1941"
"er-2_ach30b_late_1";"Yer-2 (1941)"
"er-2_ach30b_late_2";"Yer-2 (1941)"
#
"er-2_ach30b_early_shop";"Yer-2 (1940)"
"er-2_ach30b_early_0";"OKB-240 ""Yermolaev""
Yer-2 | Obrazets 1940"
"er-2_ach30b_early_1";"Yer-2 (1940)"
"er-2_ach30b_early_2";"Yer-2 (1940)"
#
"yak-9t_shop";"Yak-9T "
"yak-9t_0";"OKB-115 ""Yakovlev"" | Yak-9T"
"yak-9t_1";"Yak-9T "
"yak-9t_2";"Yak-9T"
#
"yak-9k_shop";"Yak-9K "
"yak-9k_0";"OKB-115 ""Yakovlev"" | Yak-9K"
"yak-9k_1";"Yak-9K "
"yak-9k_2";"Yak-9K"
#
"yak-3_shop";"Yak-3 (1944)"
"yak-3_0";"OKB-115 ""Yakovlev"" | Yak-3 | Obrazets 1944"
"yak-3_1";"Yak-3  (1944)"
"yak-3_2";"Yak-3 (1944)"
#
"yak-9u_shop";"Yak-9U "
"yak-9u_0";"OKB-115 ""Yakovlev"" | Yak-9U"
"yak-9u_1";"Yak-9U "
"yak-9u_2";"Yak-9U"
#
"su-8_shop";"Su-8 DDBSh"
"su-8_0";"OKB-51 ""Sukhoi"" | Su-8 | Dvukhmotornyy Dvukhmestnyy Bronirovannyy Shturmovik"
"su-8_1";"Su-8 DDBSh"
"su-8_2";"Su-8"
#
"be_6_shop";"Be-6 Madge"
"be_6_0";"OKB-49 ""Beriev"" | Be-6 Madge"
"be_6_1";"Be-6 Madge"
"be_6_2";"Be-6"
#
"yak-3p_shop";"Yak-3P"
"yak-3p_0";"OKB-115 ""Yakovlev"" | Yak-3P"
"yak-3p_1";"Yak-3P "
"yak-3p_2";"Yak-3P"
#
"yak-9p_shop";"Yak-9P"
"yak-9p_0";"OKB-115 ""Yakovlev"" | Yak-9P"
"yak-9p_1";"Yak-9P "
"yak-9p_2";"Yak-9P"
#
"yak-3u_shop";"Yak-3U"
"yak-3u_0";"OKB-115 ""Yakovlev"" | Yak-3U"
"yak-3u_1";"Yak-3U "
"yak-3u_2";"Yak-3U"
#
"yak-9ut_shop";"Yak-9UT"
"yak-9ut_0";"OKB-115 ""Yakovlev"" | Yak-9UT"
"yak-9ut_1";"Yak-9UT "
"yak-9ut_2";"Yak-9UT"
#
"i_225_shop";"I-225"
"i_225_0";"OKB-155 ""Mikoyan i Gurevich"" | I-225"
"i_225_1";"I-225"
"i_225_2";"I-225"
#
